review_id,order_id,review_score,review_comment,estimated_delivery_date,actual_delivery_date,review_date
R000001,O000001,3,Delivery took longer than expected.,2023-01-07,2023-01-10,2023-01-13
R000002,O000003,4,Decent but packaging could improve.,2023-11-21,2023-11-22,2023-11-26
R000003,O000005,3,"Product is okay, average quality.",2024-01-22,2024-01-23,2024-01-26
R000004,O000006,4,"Works fine, nothing special.",2023-12-08,2023-12-11,2023-12-14
R000005,O000007,4,Loved it!,2023-03-25,2023-03-24,2023-03-26
R000006,O000009,3,Product quality not as expected.,2024-09-05,2024-09-15,2024-09-17
R000007,O000010,5,"Great product, fast delivery!",2023-10-12,2023-10-10,2023-10-11
R000008,O000011,3,"Very late delivery, disappointed.",2024-07-12,2024-07-21,2024-07-25
R000009,O000012,4,"Great product, fast delivery!",2024-12-17,2024-12-16,2024-12-17
R000010,O000013,5,Exactly as described. Very happy.,2023-06-22,2023-06-22,2023-06-25
R000011,O000014,3,"Works fine, nothing special.",2023-12-09,2023-12-12,2023-12-15
R000012,O000015,4,"Works fine, nothing special.",2023-08-02,2023-08-03,2023-08-06
R000013,O000016,1,"Poor packaging, item was scratched.",2024-07-08,2024-07-16,2024-07-19
R000014,O000017,5,Exactly as described. Very happy.,2024-02-17,2024-02-16,2024-02-20
R000015,O000018,5,"Great product, fast delivery!",2024-03-14,2024-03-14,2024-03-15
R000016,O000019,2,Not worth the price.,2024-08-17,2024-08-26,2024-08-30
R000017,O000020,4,"Works fine, nothing special.",2023-10-31,2023-11-02,2023-11-04
R000018,O000021,3,"Product is okay, average quality.",2024-12-01,2024-12-04,2024-12-07
R000019,O000022,3,"Works fine, nothing special.",2024-01-28,2024-01-29,2024-02-01
R000020,O000023,4,"Great product, fast delivery!",2023-05-21,2023-05-21,2023-05-23
R000021,O000024,4,Exactly as described. Very happy.,2024-05-18,2024-05-18,2024-05-21
R000022,O000026,4,"Works fine, nothing special.",2023-08-28,2023-08-30,2023-09-02
R000023,O000028,5,"Excellent quality, will buy again.",2024-11-14,2024-11-13,2024-11-15
R000024,O000029,4,"Works fine, nothing special.",2023-07-09,2023-07-11,2023-07-12
R000025,O000030,4,Good value for money.,2024-12-26,2024-12-26,2024-12-27
R000026,O000031,3,"Product is okay, average quality.",2023-04-05,2023-04-06,2023-04-08
R000027,O000032,5,"Great product, fast delivery!",2023-06-20,2023-06-19,2023-06-22
R000028,O000033,5,"Excellent quality, will buy again.",2023-05-08,2023-05-07,2023-05-11
R000029,O000034,3,"Product is okay, average quality.",2024-11-29,2024-11-28,2024-12-01
R000030,O000035,4,Delivery took longer than expected.,2024-04-10,2024-04-12,2024-04-13
R000031,O000036,3,"Product is okay, average quality.",2023-04-28,2023-05-01,2023-05-03
R000032,O000037,3,"Product is okay, average quality.",2023-12-01,2023-12-04,2023-12-08
R000033,O000039,4,"Works fine, nothing special.",2023-03-09,2023-03-11,2023-03-15
R000034,O000040,5,Exactly as described. Very happy.,2024-11-11,2024-11-10,2024-11-13
R000035,O000042,4,Decent but packaging could improve.,2023-12-31,2024-01-02,2024-01-03
R000036,O000045,3,"Works fine, nothing special.",2024-12-10,2024-12-10,2024-12-13
R000037,O000046,4,Exactly as described. Very happy.,2024-04-20,2024-04-20,2024-04-21
R000038,O000048,4,Exactly as described. Very happy.,2023-05-30,2023-05-29,2023-06-02
R000039,O000051,5,Loved it!,2023-05-22,2023-05-22,2023-05-23
R000040,O000052,3,Delivery took longer than expected.,2023-02-02,2023-02-03,2023-02-06
R000041,O000053,5,Loved it!,2024-01-22,2024-01-22,2024-01-23
R000042,O000054,4,"Works fine, nothing special.",2023-12-22,2023-12-25,2023-12-26
R000043,O000056,4,Decent but packaging could improve.,2024-11-17,2024-11-20,2024-11-23
R000044,O000058,2,"Product is okay, average quality.",2024-06-18,2024-06-21,2024-06-23
R000045,O000059,3,Delivery took longer than expected.,2023-05-05,2023-05-05,2023-05-08
R000046,O000060,4,"Product is okay, average quality.",2024-10-17,2024-10-19,2024-10-23
R000047,O000061,3,Product quality not as expected.,2024-09-27,2024-10-04,2024-10-05
R000048,O000063,5,Loved it!,2024-05-27,2024-05-25,2024-05-29
R000049,O000064,3,Decent but packaging could improve.,2023-08-25,2023-08-26,2023-08-30
R000050,O000065,5,Loved it!,2023-12-21,2023-12-21,2023-12-24
R000051,O000066,2,"Very late delivery, disappointed.",2024-09-21,2024-09-28,2024-10-02
R000052,O000067,3,Delivery took longer than expected.,2023-11-08,2023-11-11,2023-11-13
R000053,O000068,4,Delivery took longer than expected.,2023-10-02,2023-10-04,2023-10-07
R000054,O000069,3,Decent but packaging could improve.,2023-12-11,2023-12-14,2023-12-15
R000055,O000073,4,"Excellent quality, will buy again.",2024-05-26,2024-05-25,2024-05-27
R000056,O000075,3,"Product is okay, average quality.",2023-03-28,2023-03-29,2023-04-01
R000057,O000076,3,Decent but packaging could improve.,2023-06-14,2023-06-17,2023-06-19
R000058,O000077,3,"Works fine, nothing special.",2023-04-10,2023-04-11,2023-04-14
R000059,O000078,4,Good value for money.,2023-09-17,2023-09-15,2023-09-17
R000060,O000079,3,"Works fine, nothing special.",2023-12-01,2023-12-02,2023-12-04
R000061,O000080,4,"Product is okay, average quality.",2024-07-02,2024-07-05,2024-07-08
R000062,O000082,4,"Product is okay, average quality.",2024-03-07,2024-03-09,2024-03-13
R000063,O000083,5,"Excellent quality, will buy again.",2023-09-12,2023-09-12,2023-09-16
R000064,O000084,4,Loved it!,2024-10-10,2024-10-10,2024-10-13
R000065,O000085,2,"Product is okay, average quality.",2023-12-25,2023-12-27,2023-12-31
R000066,O000088,5,"Excellent quality, will buy again.",2023-04-11,2023-04-10,2023-04-14
R000067,O000089,4,Good value for money.,2024-04-26,2024-04-25,2024-04-26
R000068,O000091,3,"Product is okay, average quality.",2024-05-29,2024-05-31,2024-06-02
R000069,O000092,4,Good value for money.,2023-02-11,2023-02-10,2023-02-11
R000070,O000095,3,"Works fine, nothing special.",2023-06-19,2023-06-22,2023-06-25
R000071,O000096,3,"Very late delivery, disappointed.",2024-10-04,2024-10-14,2024-10-17
R000072,O000097,4,Decent but packaging could improve.,2023-08-01,2023-08-02,2023-08-05
R000073,O000098,4,"Works fine, nothing special.",2024-03-31,2024-04-03,2024-04-07
R000074,O000099,5,Exactly as described. Very happy.,2024-05-27,2024-05-27,2024-05-29
R000075,O000101,4,"Product is okay, average quality.",2023-08-28,2023-08-30,2023-09-03
R000076,O000103,3,"Product is okay, average quality.",2023-01-07,2023-01-08,2023-01-11
R000077,O000104,3,"Works fine, nothing special.",2023-08-21,2023-08-21,2023-08-22
R000078,O000105,5,Loved it!,2024-04-07,2024-04-07,2024-04-11
R000079,O000106,3,Delivery took longer than expected.,2024-11-12,2024-11-13,2024-11-16
R000080,O000107,4,Delivery took longer than expected.,2024-11-01,2024-11-02,2024-11-03
R000081,O000110,5,Good value for money.,2024-04-10,2024-04-08,2024-04-12
R000082,O000111,5,"Excellent quality, will buy again.",2023-07-19,2023-07-18,2023-07-22
R000083,O000112,5,"Great product, fast delivery!",2024-11-09,2024-11-08,2024-11-09
R000084,O000113,3,"Product is okay, average quality.",2024-04-25,2024-04-28,2024-04-29
R000085,O000114,4,"Works fine, nothing special.",2024-01-14,2024-01-16,2024-01-17
R000086,O000115,5,Good value for money.,2023-03-24,2023-03-22,2023-03-23
R000087,O000116,4,"Product is okay, average quality.",2023-12-01,2023-12-02,2023-12-03
R000088,O000117,4,Delivery took longer than expected.,2023-11-20,2023-11-21,2023-11-23
R000089,O000120,4,Loved it!,2023-10-28,2023-10-27,2023-10-29
R000090,O000121,4,Delivery took longer than expected.,2024-12-31,2025-01-02,2025-01-04
R000091,O000122,3,"Works fine, nothing special.",2023-03-09,2023-03-12,2023-03-15
R000092,O000123,5,"Excellent quality, will buy again.",2023-11-18,2023-11-16,2023-11-19
R000093,O000124,4,"Works fine, nothing special.",2023-02-18,2023-02-19,2023-02-22
R000094,O000125,2,"Works fine, nothing special.",2024-06-11,2024-06-13,2024-06-15
R000095,O000126,5,Exactly as described. Very happy.,2024-11-29,2024-11-29,2024-12-03
R000096,O000128,4,"Works fine, nothing special.",2024-10-29,2024-10-30,2024-11-01
R000097,O000132,2,Product quality not as expected.,2024-08-27,2024-09-01,2024-09-02
R000098,O000134,5,Exactly as described. Very happy.,2024-12-19,2024-12-19,2024-12-20
R000099,O000136,4,"Product is okay, average quality.",2023-08-09,2023-08-10,2023-08-13
R000100,O000137,1,Not worth the price.,2024-09-15,2024-09-19,2024-09-23
R000101,O000138,4,Decent but packaging could improve.,2023-07-10,2023-07-12,2023-07-15
R000102,O000140,5,Exactly as described. Very happy.,2023-03-08,2023-03-06,2023-03-09
R000103,O000143,5,"Great product, fast delivery!",2023-03-10,2023-03-08,2023-03-11
R000104,O000144,5,Good value for money.,2023-06-22,2023-06-22,2023-06-23
R000105,O000145,5,"Excellent quality, will buy again.",2023-01-17,2023-01-16,2023-01-19
R000106,O000147,5,Good value for money.,2023-08-21,2023-08-20,2023-08-24
R000107,O000148,5,Good value for money.,2024-02-07,2024-02-07,2024-02-08
R000108,O000149,3,"Works fine, nothing special.",2023-08-18,2023-08-20,2023-08-24
R000109,O000150,4,"Product is okay, average quality.",2023-08-11,2023-08-13,2023-08-15
R000110,O000151,3,Decent but packaging could improve.,2024-06-19,2024-06-22,2024-06-25
R000111,O000152,3,Decent but packaging could improve.,2023-02-13,2023-02-14,2023-02-17
R000112,O000155,2,Decent but packaging could improve.,2024-04-12,2024-04-13,2024-04-14
R000113,O000156,3,"Works fine, nothing special.",2024-03-03,2024-03-04,2024-03-07
R000114,O000157,4,Good value for money.,2024-11-26,2024-11-24,2024-11-26
R000115,O000158,3,Decent but packaging could improve.,2023-05-30,2023-06-01,2023-06-05
R000116,O000160,3,Delivery took longer than expected.,2023-06-10,2023-06-11,2023-06-12
R000117,O000161,2,Received a damaged item.,2024-07-29,2024-08-08,2024-08-12
R000118,O000162,3,Delivery took longer than expected.,2023-01-20,2023-01-22,2023-01-26
R000119,O000163,3,"Works fine, nothing special.",2024-02-29,2024-02-27,2024-02-29
R000120,O000168,2,Not worth the price.,2024-09-21,2024-09-26,2024-09-27
R000121,O000169,3,Decent but packaging could improve.,2024-02-12,2024-02-14,2024-02-17
R000122,O000171,4,"Excellent quality, will buy again.",2023-03-14,2023-03-13,2023-03-15
R000123,O000172,4,Good value for money.,2024-11-27,2024-11-25,2024-11-28
R000124,O000173,3,Decent but packaging could improve.,2024-04-17,2024-04-19,2024-04-22
R000125,O000174,3,"Poor packaging, item was scratched.",2024-09-27,2024-10-06,2024-10-07
R000126,O000175,5,Exactly as described. Very happy.,2024-12-05,2024-12-04,2024-12-07
R000127,O000176,2,Decent but packaging could improve.,2024-02-17,2024-02-18,2024-02-22
R000128,O000178,3,"Product is okay, average quality.",2023-11-28,2023-12-01,2023-12-04
R000129,O000179,4,Decent but packaging could improve.,2023-08-22,2023-08-24,2023-08-25
R000130,O000181,5,Loved it!,2024-06-22,2024-06-22,2024-06-23
R000131,O000183,4,Good value for money.,2024-11-17,2024-11-15,2024-11-16
R000132,O000184,5,"Excellent quality, will buy again.",2023-11-19,2023-11-17,2023-11-19
R000133,O000187,3,"Product is okay, average quality.",2024-02-14,2024-02-16,2024-02-20
R000134,O000188,4,Decent but packaging could improve.,2024-05-06,2024-05-09,2024-05-10
R000135,O000190,4,Exactly as described. Very happy.,2023-12-14,2023-12-14,2023-12-18
R000136,O000195,2,"Product is okay, average quality.",2024-12-15,2024-12-18,2024-12-21
R000137,O000196,3,"Works fine, nothing special.",2024-02-24,2024-02-27,2024-03-02
R000138,O000197,4,"Excellent quality, will buy again.",2024-06-26,2024-06-24,2024-06-26
R000139,O000200,3,Delivery took longer than expected.,2023-03-05,2023-03-05,2023-03-07
R000140,O000202,5,Good value for money.,2023-09-21,2023-09-20,2023-09-23
R000141,O000204,2,"Works fine, nothing special.",2023-02-23,2023-02-25,2023-02-27
R000142,O000206,4,Delivery took longer than expected.,2023-07-08,2023-07-10,2023-07-14
R000143,O000208,3,"Works fine, nothing special.",2023-08-08,2023-08-09,2023-08-10
R000144,O000209,4,"Works fine, nothing special.",2023-12-21,2023-12-22,2023-12-26
R000145,O000211,5,"Excellent quality, will buy again.",2024-03-13,2024-03-11,2024-03-14
R000146,O000212,4,Exactly as described. Very happy.,2023-07-14,2023-07-13,2023-07-15
R000147,O000213,5,"Excellent quality, will buy again.",2023-06-29,2023-06-28,2023-06-30
R000148,O000215,5,Loved it!,2023-01-13,2023-01-13,2023-01-14
R000149,O000216,4,Good value for money.,2023-01-27,2023-01-26,2023-01-30
R000150,O000218,4,"Works fine, nothing special.",2023-01-26,2023-01-27,2023-01-30
R000151,O000219,5,Good value for money.,2023-04-01,2023-03-30,2023-04-03
R000152,O000220,4,"Excellent quality, will buy again.",2023-09-09,2023-09-09,2023-09-12
R000153,O000221,3,"Very late delivery, disappointed.",2024-08-08,2024-08-17,2024-08-20
